id,name,year,co2
08107,"Routt County, CO",2017,unknown
08109,"Saguache County, CO",2017,unknown
08111,"San Juan County, CO",2017,unknown
08113,"San Miguel County, CO",2017,unknown
08115,"Sedgwick County, CO",2017,unknown
08117,"Summit County, CO",2017,unknown
08119,"Teller County, CO",2017,unknown
08121,"Washington County, CO",2017,unknown
08123,"Weld County, CO",2017,unknown
08125,"Yuma County, CO",2017,unknown
09001,"Fairfield County, CT",2017,unknown
09003,"Hartford County, CT",2017,unknown
09005,"Litchfield County, CT",2017,unknown
09007,"Middlesex County, CT",2017,unknown
09009,"New Haven County, CT",2017,unknown
09011,"New London County, CT",2017,unknown
09013,"Tolland County, CT",2017,unknown
09015,"Windham County, CT",2017,unknown
10001,"Kent County, DE",2017,unknown
10003,"New Castle County, DE",2017,unknown
10005,"Sussex County, DE",2017,unknown
11001,District of Columbia,2017,unknown
12001,"Alachua County, FL",2017,unknown
12003,"Baker County, FL",2017,unknown
12005,"Bay County, FL",2017,unknown
12007,"Bradford County, FL",2017,unknown
12009,"Brevard County, FL",2017,unknown
12011,"Broward County, FL",2017,unknown
12013,"Calhoun County, FL",2017,unknown
12015,"Charlotte County, FL",2017,unknown
12017,"Citrus County, FL",2017,unknown
12019,"Clay County, FL",2017,unknown
12021,"Collier County, FL",2017,unknown
12023,"Columbia County, FL",2017,unknown
12027,"DeSoto County, FL",2017,unknown
12029,"Dixie County, FL",2017,unknown
12031,"Duval County, FL",2017,unknown
12033,"Escambia County, FL",2017,unknown
12035,"Flagler County, FL",2017,unknown
12037,"Franklin County, FL",2017,unknown
12039,"Gadsden County, FL",2017,unknown
12041,"Gilchrist County, FL",2017,unknown
12043,"Glades County, FL",2017,unknown
12045,"Gulf County, FL",2017,unknown
12047,"Hamilton County, FL",2017,unknown
12049,"Hardee County, FL",2017,unknown
12051,"Hendry County, FL",2017,unknown
12053,"Hernando County, FL",2017,unknown
12055,"Highlands County, FL",2017,unknown
12057,"Hillsborough County, FL",2017,unknown
12059,"Holmes County, FL",2017,unknown
12061,"Indian River County, FL",2017,unknown
12063,"Jackson County, FL",2017,unknown
12065,"Jefferson County, FL",2017,unknown
12067,"Lafayette County, FL",2017,unknown
12069,"Lake County, FL",2017,unknown
12071,"Lee County, FL",2017,unknown
12073,"Leon County, FL",2017,unknown
12075,"Levy County, FL",2017,unknown
12077,"Liberty County, FL",2017,unknown
12079,"Madison County, FL",2017,unknown
12081,"Manatee County, FL",2017,unknown
12083,"Marion County, FL",2017,unknown
12085,"Martin County, FL",2017,unknown
12086,"Miami-Dade County, FL",2017,unknown
12087,"Monroe County, FL",2017,unknown
12089,"Nassau County, FL",2017,unknown
12091,"Okaloosa County, FL",2017,unknown
12093,"Okeechobee County, FL",2017,unknown
12095,"Orange County, FL",2017,unknown
12097,"Osceola County, FL",2017,unknown
12099,"Palm Beach County, FL",2017,unknown
12101,"Pasco County, FL",2017,unknown
12103,"Pinellas County, FL",2017,unknown
12105,"Polk County, FL",2017,unknown
12107,"Putnam County, FL",2017,unknown
12109,"St. Johns County, FL",2017,unknown
12111,"St. Lucie County, FL",2017,unknown
12113,"Santa Rosa County, FL",2017,unknown
12115,"Sarasota County, FL",2017,unknown
12117,"Seminole County, FL",2017,unknown
12119,"Sumter County, FL",2017,unknown
12121,"Suwannee County, FL",2017,unknown
12123,"Taylor County, FL",2017,unknown
12125,"Union County, FL",2017,unknown
12127,"Volusia County, FL",2017,unknown
12129,"Wakulla County, FL",2017,unknown
12131,"Walton County, FL",2017,unknown
12133,"Washington County, FL",2017,unknown
13001,"Appling County, GA",2017,unknown
13003,"Atkinson County, GA",2017,unknown
13005,"Bacon County, GA",2017,unknown
13007,"Baker County, GA",2017,unknown
13009,"Baldwin County, GA",2017,unknown
13011,"Banks County, GA",2017,unknown
13013,"Barrow County, GA",2017,unknown
13015,"Bartow County, GA",2017,unknown
13017,"Ben Hill County, GA",2017,unknown
13019,"Berrien County, GA",2017,unknown
13021,"Bibb County, GA",2017,unknown
13023,"Bleckley County, GA",2017,unknown
13025,"Brantley County, GA",2017,unknown
13027,"Brooks County, GA",2017,unknown
13029,"Bryan County, GA",2017,unknown
13031,"Bulloch County, GA",2017,unknown
13033,"Burke County, GA",2017,unknown
13035,"Butts County, GA",2017,unknown
13037,"Calhoun County, GA",2017,unknown
13039,"Camden County, GA",2017,unknown
13043,"Candler County, GA",2017,unknown
13045,"Carroll County, GA",2017,unknown
13047,"Catoosa County, GA",2017,unknown
13049,"Charlton County, GA",2017,unknown
13051,"Chatham County, GA",2017,unknown
13053,"Chattahoochee County, GA",2017,unknown
13055,"Chattooga County, GA",2017,unknown
13057,"Cherokee County, GA",2017,unknown
13059,"Clarke County, GA",2017,unknown
13061,"Clay County, GA",2017,unknown
13063,"Clayton County, GA",2017,unknown
13065,"Clinch County, GA",2017,unknown
13067,"Cobb County, GA",2017,unknown
13069,"Coffee County, GA",2017,unknown
13071,"Colquitt County, GA",2017,unknown
13073,"Columbia County, GA",2017,unknown
13075,"Cook County, GA",2017,unknown
13077,"Coweta County, GA",2017,unknown
13079,"Crawford County, GA",2017,unknown
13081,"Crisp County, GA",2017,unknown
13083,"Dade County, GA",2017,unknown
13085,"Dawson County, GA",2017,unknown
13087,"Decatur County, GA",2017,unknown
13089,"DeKalb County, GA",2017,unknown
13091,"Dodge County, GA",2017,unknown
13093,"Dooly County, GA",2017,unknown
13095,"Dougherty County, GA",2017,unknown
13097,"Douglas County, GA",2017,unknown
13099,"Early County, GA",2017,unknown
13101,"Echols County, GA",2017,unknown
13103,"Effingham County, GA",2017,unknown
13105,"Elbert County, GA",2017,unknown
13107,"Emanuel County, GA",2017,unknown
13109,"Evans County, GA",2017,unknown
13111,"Fannin County, GA",2017,unknown
13113,"Fayette County, GA",2017,unknown
13115,"Floyd County, GA",2017,unknown
13117,"Forsyth County, GA",2017,unknown
13119,"Franklin County, GA",2017,unknown
13121,"Fulton County, GA",2017,unknown
13123,"Gilmer County, GA",2017,unknown
13125,"Glascock County, GA",2017,unknown
13127,"Glynn County, GA",2017,unknown
13129,"Gordon County, GA",2017,unknown
13131,"Grady County, GA",2017,unknown
13133,"Greene County, GA",2017,unknown
13135,"Gwinnett County, GA",2017,unknown
13137,"Habersham County, GA",2017,unknown
13139,"Hall County, GA",2017,unknown
